,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,tweet_2,tweet_1,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,Action,Adventure,Fantasy,Sci.Fi,Thriller,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Documentary,Film.Noir,assassin,spy,scientist,vampire,vomiting,king,hospital,writer,student,future,fight,teenager,president,sex,terrorist,train,best.friend,college,serial.killer,hotel,christmas,secret,female.protagonist,battle,box.office.flop,rescue,cia,detective,lawyer,escape,party,wedding,island,marriage,dog,friendship,drugs,money,revenge,prison,school,boy,fbi,alien,high.school,new.york.city,police,death,murder,friend,love,profit,gross1,pc,actor1_age,actor1_awards,director_awards,director_name,actor2_awards,actor1_publicity,actor2_publicity,director_publicity
0,0,0,0,3.351395919,0.2025,302,169,563,1000,Orlando Bloom,40000,309404152,Johnny Depp,Pirates of the Caribbean: At World's Endí??æ,48350,Jack Davenport,0,"c(""goddess"", ""marriage ceremony"", ""marriage proposal"", ""pirate"", ""singapore"")",300000000,2007,5000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031347173,17589.8878,0,54,302.52941180000005,12.0,Gore Verbinski,88.0,743,255,2
1,1,1,1,3.4901033060000004,1.96,813,164,22000,23000,Christian Bale,27000,448130642,Tom Hardy,The Dark Knight Risesí??æ,106759,Joseph Gordon-Levitt,0,"c(""deception"", ""imprisonment"", ""lawlessness"", ""police officer"", ""terrorist plot"")",250000000,2012,23000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792522568,21169.0964,0,40,39.0,542.65,Christopher Nolan,332.94,52,151,10
2,2,2,2,0.01,2.540039063,462,132,475,530,Samantha Morton,640,73058679,Daryl Sabara,John Carterí??æ,1873,Polly Walker,1,"c(""alien"", ""american civil war"", ""male nipple"", ""mars"", ""princess"")",263700000,2012,632,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.7229477470000001,8547.437,0,25,9.0,267.33888888900003,Andrew Stanton,215.8,0,31,3
3,3,3,3,0.0025,0.3025,375,153,282,10000,Daniel Radcliffe,25000,301956980,Alan Rickman,Harry Potter and the Half-Blood Princeí??æ,58753,Rupert Grint,3,"c(""blood"", ""book"", ""love"", ""potion"", ""professor"")",250000000,2009,11000,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20782792,17376.9094,0,71,142.8,79.3,David Yates,55.0,7,479,4
4,4,4,4,1.514266975,0.0625,403,106,395,393,Mathieu Amalric,451,168368427,Giancarlo Giannini,Quantum of Solaceí??æ,2023,Rory Kinnear,1,"c(""action hero"", ""attempted rape"", ""bond girl"", ""official james bond series"", ""revenge"")",200000000,2008,412,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.158157865,12975.686000000002,0,75,199.4777778,33.9,Marc Forster,34.0,10,8,12
5,5,5,5,3.351395919,0.2025,313,151,563,1000,Orlando Bloom,40000,423032628,Johnny Depp,Pirates of the Caribbean: Dead Man's Chestí??æ,48486,Jack Davenport,2,"c(""box office hit"", ""giant squid"", ""heart"", ""liar's dice"", ""monster"")",225000000,2006,5000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8801450129999999,20567.756999999998,0,54,262.0764706,11.0,Gore Verbinski,83.0,743,255,2
6,6,6,6,5.29,0.2025,450,150,563,1000,Ruth Wilson,40000,89289910,Johnny Depp,The Lone Rangerí??æ,45757,Tom Wilkinson,1,"c(""horse"", ""outlaw"", ""texas"", ""texas ranger"", ""train"")",215000000,2013,2000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584698093,9449.3338,0,54,519.7,60.7,Gore Verbinski,7.52,743,30,2
7,7,7,7,0.0,3.0799999999999997e-33,258,150,80,201,Pierfrancesco Favino,22000,141614023,Peter Dinklage,The Chronicles of Narnia: Prince Caspianí??æ,22697,Damií??çn Alcí??çzar,4,"c(""brother brother relationship"", ""brother sister relationship"", ""good versus evil"", ""king"", ""narnia"")",225000000,2008,216,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37060434200000003,11900.169,0,48,24.0,73.8,Andrew Adamson,38.0,29,0,2
8,8,8,8,4.84,0.2025,448,136,252,1000,Sam Claflin,40000,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tidesí??æ,54083,Stephen Graham,4,"c(""blackbeard"", ""captain"", ""pirate"", ""revenge"", ""soldier"")",250000000,2011,11000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357445,15526.2318,0,54,469.24705880000005,104.2,Rob Marshall,12.0,743,11,3
9,9,9,9,14.17066173,0.08265625,451,106,188,718,Michael Stuhlbarg,10000,179020854,Will Smith,Men in Black 3í??æ,12572,Nicole Scherzinger,1,"c(""alien"", ""criminal"", ""m.i.b."", ""maximum security prison"", ""prison"")",225000000,2012,816,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.20435176,13379.8675,0,49,414.2,35.0,Barry Sonnenfeld,39.3,297,1,11
