"","X","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","budget","title_year","actor_2_facebook_likes","imdb_score","Action","Adventure","Fantasy","Sci.Fi","Thriller","Romance","Animation","Comedy","Family","Musical","Mystery","Western","Drama","History","Sport","Crime","Horror","War","Biography","Music","Documentary","Film.Noir","assassin","spy","scientist","vampire","vomiting","king","hospital","writer","student","future","fight","teenager","president","sex","terrorist","train","best.friend","college","serial.killer","hotel","christmas","secret","female.protagonist","battle","box.office.flop","rescue","cia","detective","lawyer","escape","party","wedding","island","marriage","dog","friendship","drugs","money","revenge","prison","school","boy","fbi","alien","high.school","new.york.city","police","death","murder","friend","love","profit"
"2",2,"Gore Verbinski",302,169,563,1000,"Orlando Bloom",40000,309404152,"Johnny Depp","Pirates of the Caribbean: At World's End ",48350,"Jack Davenport",0,"c(""goddess"", ""marriage ceremony"", ""marriage proposal"", ""pirate"", ""singapore"")",3e+08,2007,5000,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313471733333333
"4",4,"Christopher Nolan",813,164,22000,23000,"Christian Bale",27000,448130642,"Tom Hardy","The Dark Knight Rises ",106759,"Joseph Gordon-Levitt",0,"c(""deception"", ""imprisonment"", ""lawlessness"", ""police officer"", ""terrorist plot"")",2.5e+08,2012,23000,8.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792522568
"5",5,"Andrew Stanton",462,132,475,530,"Samantha Morton",640,73058679,"Daryl Sabara","John Carter ",1873,"Polly Walker",1,"c(""alien"", ""american civil war"", ""male nipple"", ""mars"", ""princess"")",263700000,2012,632,6.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.722947747440273
"9",9,"David Yates",375,153,282,10000,"Daniel Radcliffe",25000,301956980,"Alan Rickman","Harry Potter and the Half-Blood Prince ",58753,"Rupert Grint",3,"c(""blood"", ""book"", ""love"", ""potion"", ""professor"")",2.5e+08,2009,11000,7.5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20782792
"12",12,"Marc Forster",403,106,395,393,"Mathieu Amalric",451,168368427,"Giancarlo Giannini","Quantum of Solace ",2023,"Rory Kinnear",1,"c(""action hero"", ""attempted rape"", ""bond girl"", ""official james bond series"", ""revenge"")",2e+08,2008,412,6.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.158157865
"13",13,"Gore Verbinski",313,151,563,1000,"Orlando Bloom",40000,423032628,"Johnny Depp","Pirates of the Caribbean: Dead Man's Chest ",48486,"Jack Davenport",2,"c(""box office hit"", ""giant squid"", ""heart"", ""liar's dice"", ""monster"")",2.25e+08,2006,5000,7.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880145013333333
"14",14,"Gore Verbinski",450,150,563,1000,"Ruth Wilson",40000,89289910,"Johnny Depp","The Lone Ranger ",45757,"Tom Wilkinson",1,"c(""horse"", ""outlaw"", ""texas"", ""texas ranger"", ""train"")",2.15e+08,2013,2000,6.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584698093023256
"16",16,"Andrew Adamson",258,150,80,201,"Pierfrancesco Favino",22000,141614023,"Peter Dinklage","The Chronicles of Narnia: Prince Caspian ",22697,"Damián Alcázar",4,"c(""brother brother relationship"", ""brother sister relationship"", ""good versus evil"", ""king"", ""narnia"")",2.25e+08,2008,216,6.6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.370604342222222
"18",18,"Rob Marshall",448,136,252,1000,"Sam Claflin",40000,241063875,"Johnny Depp","Pirates of the Caribbean: On Stranger Tides ",54083,"Stephen Graham",4,"c(""blackbeard"", ""captain"", ""pirate"", ""revenge"", ""soldier"")",2.5e+08,2011,11000,6.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357445
"19",19,"Barry Sonnenfeld",451,106,188,718,"Michael Stuhlbarg",10000,179020854,"Will Smith","Men in Black 3 ",12572,"Nicole Scherzinger",1,"c(""alien"", ""criminal"", ""m.i.b."", ""maximum security prison"", ""prison"")",2.25e+08,2012,816,6.8,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.20435176
"21",21,"Marc Webb",599,153,464,963,"Andrew Garfield",15000,262030663,"Emma Stone","The Amazing Spider-Man ",28489,"Chris Zylka",0,"c(""lizard"", ""outcast"", ""spider"", ""spider man"", ""teenager"")",2.3e+08,2012,10000,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139263752173913
"24",24,"Chris Weitz",251,113,129,1000,"Eva Green",16000,70083519,"Christopher Lee","The Golden Compass ",24106,"Kristin Scott Thomas",2,"c(""children"", ""epic"", ""friend"", ""girl"", ""quest"")",1.8e+08,2007,6000,6.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.610647116666667
"27",27,"Anthony Russo",516,147,94,11000,"Scarlett Johansson",21000,407197282,"Robert Downey Jr.","Captain America: Civil War ",64798,"Chris Evans",0,"c(""based on comic book"", ""knife"", ""marvel cinematic universe"", ""returning character killed off"", ""superhero"")",2.5e+08,2016,19000,8.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628789128
"28",28,"Peter Berg",377,131,532,627,"Alexander Skarsgård",14000,65173160,"Liam Neeson","Battleship ",26679,"Tadanobu Asano",0,"c(""box office flop"", ""hawaii"", ""naval"", ""oahu hawaii"", ""ship"")",2.09e+08,2012,10000,5.9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.688166698564593
"29",29,"Colin Trevorrow",644,124,365,1000,"Judy Greer",3000,652177271,"Bryce Dallas Howard","Jurassic World ",8458,"Omar Sy",0,"c(""dinosaur"", ""disaster film"", ""experiment gone wrong"", ""jurassic park"", ""velociraptor"")",1.5e+08,2015,2000,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34784847333333
"32",32,"Shane Black",608,195,1000,3000,"Jon Favreau",21000,408992272,"Robert Downey Jr.","Iron Man 3 ",30426,"Don Cheadle",3,"c(""armor"", ""explosion"", ""human bomb"", ""missile attack"", ""terrorist"")",2e+08,2013,4000,7.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04496136
"33",33,"Tim Burton",451,108,13000,11000,"Alan Rickman",40000,334185206,"Johnny Depp","Alice in Wonderland ",79957,"Anne Hathaway",0,"c(""alice in wonderland"", ""mistaking reality for dream"", ""queen"", ""shrinking"", ""shrinking potion"")",2e+08,2010,25000,6.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67092603
"34",34,"Brett Ratner",334,104,420,560,"Kelsey Grammer",20000,234360014,"Hugh Jackman","X-Men: The Last Stand ",21714,"Daniel Cudmore",0,"c(""battle"", ""mutant"", ""outrage"", ""walking through a wall"", ""x men"")",2.1e+08,2006,808,6.8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116000066666667
"39",39,"Marc Webb",495,142,464,825,"Andrew Garfield",15000,202853933,"Emma Stone","The Amazing Spider-Man 2 ",28631,"B.J. Novak",0,"c(""costumed hero"", ""death of girlfriend"", ""masked vigilante"", ""returning character killed off"", ""teenager"")",2e+08,2014,10000,6.7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014269665
"40",40,"Joseph Kosinski",469,125,364,1000,"Olivia Wilde",12000,172051787,"Jeff Bridges","TRON: Legacy ",25550,"James Frain",0,"c(""arcade"", ""bridge"", ""disappearance"", ""escape"", ""warrior"")",1.7e+08,2010,10000,6.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120693352941177
"41",41,"John Lasseter",304,106,487,776,"Thomas Kretschmann",1000,191450875,"Joe Mantegna","Cars 2 ",4482,"Eddie Izzard",0,"c(""best friend"", ""car race"", ""conspiracy"", ""gadget car"", ""spy"")",2e+08,2011,919,6.3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042745625
"42",42,"Martin Campbell",436,123,258,326,"Temuera Morrison",16000,116593191,"Ryan Reynolds","Green Lantern ",17657,"Taika Waititi",2,"c(""autopsy"", ""lantern"", ""planet"", ""ring"", ""test pilot"")",2e+08,2011,368,5.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417034045
"43",43,"Lee Unkrich",453,103,125,721,"John Ratzenberger",15000,414984497,"Tom Hanks","Toy Story 3 ",19085,"Don Rickles",3,"c(""college"", ""day care"", ""escape"", ""teddy bear"", ""toy"")",2e+08,2010,1000,8.3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074922485
